mean_in_degree,nodes_indegree_gt_one,instance,closed_edge_density,num_edges,num_closed_edges,group_id,algorithm,max_in_degree,num_nodes
1.0,1,br17.10.sop.ajn.txt,0.22794117647058823,17,31,sop,MULTIFLOW,2,17
1.0588235294117647,2,br17.12.sop.ajn.txt,0.27941176470588236,18,38,sop,MULTIFLOW,2,17
1.125,1,esc07.sop.ajn.txt,0.5,9,14,sop,MULTIFLOW,3,8
0.9166666666666666,0,esc11.sop.ajn.txt,0.24242424242424243,11,16,sop,MULTIFLOW,1,12
1.3076923076923077,2,esc12.sop.ajn.txt,0.2948717948717949,17,23,sop,MULTIFLOW,4,13
1.0,1,esc25.sop.ajn.txt,0.11076923076923077,26,36,sop,MULTIFLOW,2,26
1.0,1,esc47.sop.ajn.txt,0.0700354609929078,48,79,sop,MULTIFLOW,2,48
2.3125,10,esc63.sop.ajn.txt,0.14682539682539683,148,296,sop,MULTIFLOW,10,64
0.9873417721518988,0,esc78.sop.ajn.txt,0.11716975008114248,78,361,sop,MULTIFLOW,1,79
1.0188679245283019,2,ft53.1.sop.ajn.txt,0.04644412191582003,54,64,sop,MULTIFLOW,2,53
1.0754716981132075,5,ft53.2.sop.ajn.txt,0.059506531204644414,57,82,sop,MULTIFLOW,2,53
1.3018867924528301,12,ft53.3.sop.ajn.txt,0.19521044992743106,69,269,sop,MULTIFLOW,5,53
1.3962264150943395,18,ft53.4.sop.ajn.txt,0.5885341074020319,74,811,sop,MULTIFLOW,4,53
1.0285714285714285,3,ft70.1.sop.ajn.txt,0.03561076604554866,72,86,sop,MULTIFLOW,2,70
1.1285714285714286,8,ft70.2.sop.ajn.txt,0.0484472049689441,79,117,sop,MULTIFLOW,3,70
1.3571428571428572,17,ft70.3.sop.ajn.txt,0.11759834368530021,95,284,sop,MULTIFLOW,5,70
1.4285714285714286,26,ft70.4.sop.ajn.txt,0.5772256728778468,100,1394,sop,MULTIFLOW,3,70
1.02,3,kro124p.1.sop.ajn.txt,0.02666666666666667,102,132,sop,MULTIFLOW,2,100
1.12,10,kro124p.2.sop.ajn.txt,0.03373737373737374,112,167,sop,MULTIFLOW,4,100
1.3,25,kro124p.3.sop.ajn.txt,0.07373737373737374,130,365,sop,MULTIFLOW,4,100
1.49,41,kro124p.4.sop.ajn.txt,0.4856565656565657,149,2404,sop,MULTIFLOW,3,100
1.0465116279069768,3,p43.1.sop.ajn.txt,0.058693244739756366,45,53,sop,MULTIFLOW,2,43
1.0465116279069768,3,p43.2.sop.ajn.txt,0.08416389811738649,45,76,sop,MULTIFLOW,2,43
1.2325581395348837,8,p43.3.sop.ajn.txt,0.15282392026578073,53,138,sop,MULTIFLOW,4,43
1.3488372093023255,11,p43.4.sop.ajn.txt,0.5957918050941307,58,538,sop,MULTIFLOW,4,43
0.98989898989899,0,prob.100.sop.ajn.txt,0.02865388579674294,98,139,sop,MULTIFLOW,1,99
1.0,1,prob.42.sop.ajn.txt,0.07195121951219512,41,59,sop,MULTIFLOW,2,41
4.0,14,rbg048a.sop.ajn.txt,0.42091836734693877,196,495,sop,MULTIFLOW,18,49
5.078431372549019,46,rbg050c.sop.ajn.txt,0.4376470588235294,259,558,sop,MULTIFLOW,20,51
5.709090909090909,93,rbg109a.sop.ajn.txt,0.9070892410341952,628,5438,sop,MULTIFLOW,11,110
6.370860927152318,140,rbg150a.sop.ajn.txt,0.9257395143487859,962,10484,sop,MULTIFLOW,13,151
6.371428571428571,166,rbg174a.sop.ajn.txt,0.9280131362889984,1115,14129,sop,MULTIFLOW,17,175
6.783464566929134,245,rbg253a.sop.ajn.txt,0.947184961563599,1723,30434,sop,MULTIFLOW,17,254
7.453703703703703,303,rbg323a.sop.ajn.txt,0.9273592477926843,2415,48525,sop,MULTIFLOW,30,324
7.444444444444445,311,rbg341a.sop.ajn.txt,0.9371130661453242,2546,54644,sop,MULTIFLOW,22,342
9.030640668523677,354,rbg358a.sop.ajn.txt,0.8853581487994273,3242,56894,sop,MULTIFLOW,23,359
