Predecessor, Successor
21,34
4,35
5,35
25,35
31,35
33,36
11,37
18,37
28,37
1,38
17,39
9,40
1,41
14,41
30,41
31,41
32,41
19,42
26,42
1,44
2,44
30,45
34,45
36,45
8,46
11,46
29,46
21,47
7,48
27,48
39,48
16,49
36,49
51,54
52,54
53,55
54,55
7,56
10,56
16,56
34,56
44,56
54,56
55,57
1,58
19,58
45,58
57,58
57,59
59,60
57,61
60,62
62,63
63,64
61,65
64,65
65,66
66,67
67,68
68,69
69,70
50,71
61,71
64,71
70,72
71,72
72,73
73,74
74,75
75,76
76,77
77,78
78,79
79,80
80,81
81,82
82,83
83,84
84,85
83,86
85,87
85,88
86,88
87,89
88,89
89,90
90,91
91,92
92,93
89,94
93,95
94,95
95,96
96,97
97,98
98,99
99,100
100,101
101,102
102,103
103,104
104,105
105,106
106,107
107,108
108,109
109,110
110,111
111,112
112,113
113,114
114,115
115,116
116,117
113,118
115,119
118,119
119,120
117,121
120,121
121,122
122,123
123,124
124,125
123,126
126,127
127,128
125,129
128,129
129,130
130,131
131,132
132,133
133,134
134,135
1,136
43,136
134,136
20,137
43,137
135,137
2,138
3,138
4,138
5,138
6,138
7,138
10,138
12,138
13,138
15,138
20,138
22,138
23,138
24,138
25,138
27,138
29,138
30,138
31,138
32,138
37,138
39,138
42,138
47,138
136,138
