Predecessor, Successor
2,5
5,8
7,8
8,10
1,13
16,17
1,18
17,18
13,19
10,20
13,22
15,22
4,24
8,24
14,24
11,26
6,27
12,27
5,28
6,28
9,28
14,28
25,28
12,29
26,29
14,30
18,30
4,31
9,31
10,31
13,31
14,31
29,31
26,32
27,33
10,34
7,36
25,36
30,36
33,36
3,37
4,37
23,37
4,38
35,38
4,39
16,39
21,39
27,39
19,40
20,40
6,41
7,41
9,41
11,41
12,41
13,41
23,42
9,43
36,43
28,44
15,45
35,45
39,45
2,46
11,46
21,46
37,46
43,46
3,47
18,47
41,47
12,48
17,49
25,49
34,49
39,49
4,50
20,50
22,50
32,50
34,50
43,50
44,50
4,51
10,51
15,51
21,51
36,51
42,51
11,52
23,52
28,52
43,52
15,53
23,53
32,53
7,54
26,54
44,54
45,54
18,55
19,55
33,55
