Predecessor, Successor
1,3
2,5
4,6
3,7
5,7
3,8
6,12
7,12
9,12
6,13
8,13
11,13
7,15
13,17
15,17
15,18
4,19
7,19
14,19
12,20
13,21
18,21
19,21
17,22
9,23
19,23
11,24
18,24
19,24
23,25
20,26
24,26
12,27
24,27
22,28
24,28
25,28
21,29
22,29
26,29
27,29
10,30
26,30
21,31
28,31
26,32
20,33
21,33
26,34
29,35
32,35
34,35
17,36
24,36
33,37
25,38
32,38
37,39
38,39
29,40
16,41
35,41
29,42
29,43
30,44
36,44
39,44
42,44
31,45
37,45
39,46
43,46
42,47
16,48
31,48
34,49
41,50
41,51
45,51
47,51
44,52
48,52
49,52
44,53
46,53
49,53
30,54
42,54
51,55
53,55
40,56
46,56
47,56
29,57
39,57
48,57
38,58
45,58
16,59
46,59
44,60
51,60
53,61
57,61
58,61
41,62
45,62
46,62
52,63
56,63
48,64
54,64
63,65
55,66
56,66
64,66
60,67
61,67
65,68
66,68
59,69
60,69
55,70
62,70
65,70
50,71
55,71
58,71
62,72
64,72
60,73
55,74
61,74
72,74
52,75
67,76
69,76
70,76
72,76
73,76
59,77
61,77
68,77
71,77
55,78
72,78
75,78
76,79
74,80
78,80
65,81
66,81
71,81
66,82
70,82
71,82
81,83
77,84
80,84
77,85
82,86
79,87
80,87
82,87
79,88
84,88
69,89
74,89
81,89
67,90
80,90
83,91
86,91
70,92
74,92
83,93
87,93
89,93
88,94
93,94
93,95
85,96
86,96
89,96
90,96
86,97
87,97
88,97
92,97
86,98
88,98
88,99
95,99
84,100
85,100
90,100
91,100
95,101
97,101
100,102
97,103
100,103
98,104
96,105
97,105
97,106
88,107
92,107
96,107
102,108
95,109
107,109
105,110
106,110
109,111
111,112
99,113
103,113
111,113
102,114
104,114
111,114
94,115
103,115
110,116
113,116
114,116
108,117
110,117
113,117
114,117
115,117
116,118
101,119
114,119
117,120
110,121
111,121
119,122
118,123
121,123
120,124
120,125
122,125
123,125
121,126
122,126
125,127
124,128
125,128
126,128
128,129
128,130
127,131
129,132
130,133
131,133
131,134
133,135
15,136
133,137
71,138
