Predecessor, Successor
1,2
1,7
2,10
8,12
5,16
11,16
14,17
15,20
17,20
12,21
6,23
24,26
8,27
10,27
13,27
20,28
10,29
21,29
25,29
22,30
27,30
10,31
23,31
8,32
23,32
7,33
12,33
17,33
22,33
9,34
19,34
22,34
25,34
26,34
11,35
27,35
31,35
32,36
18,37
19,37
21,37
26,37
33,37
36,37
3,38
16,38
30,38
31,38
9,39
27,39
29,39
37,39
13,40
18,40
20,40
34,40
16,41
34,41
21,42
25,42
28,42
32,42
33,43
35,43
42,43
28,44
39,44
21,45
26,45
33,45
30,46
32,46
33,46
37,47
38,48
46,48
26,49
31,49
44,50
30,51
36,51
39,52
38,53
44,53
47,53
28,54
36,54
38,54
45,54
20,55
34,55
37,55
38,56
45,56
49,56
51,56
40,57
48,57
51,57
37,58
35,59
46,60
53,60
39,61
57,61
54,62
4,63
42,63
47,63
55,64
39,65
43,65
58,65
59,65
64,65
45,66
53,66
55,66
66,67
34,68
45,68
43,69
63,69
66,70
43,71
44,71
54,71
56,71
61,71
65,72
65,73
68,73
43,74
49,74
43,75
51,75
62,75
63,75
40,76
55,76
58,76
60,77
65,77
70,77
74,77
40,78
45,78
68,79
75,79
46,80
47,80
54,80
56,80
64,80
76,80
50,81
73,81
44,82
63,82
73,82
44,83
80,83
61,84
62,84
67,84
72,84
74,84
75,85
71,86
76,86
60,87
61,87
70,87
83,87
84,88
87,88
40,89
41,89
52,89
66,89
81,89
70,90
72,90
83,90
89,90
53,91
85,91
71,92
74,92
85,92
63,93
74,93
86,93
67,94
72,94
50,95
68,95
77,95
80,95
84,95
91,95
77,96
89,96
67,97
78,97
79,97
89,97
85,98
89,98
93,98
87,99
90,99
93,99
60,100
71,100
76,100
98,101
100,101
89,103
78,104
95,104
60,105
73,105
79,105
96,106
97,106
101,106
91,107
92,107
97,107
100,107
87,108
94,108
105,108
107,108
92,109
93,109
103,109
82,110
102,110
104,110
84,111
90,111
98,111
83,112
103,113
104,113
96,114
99,114
101,114
103,114
104,114
108,115
106,116
109,116
113,116
105,117
107,117
114,117
79,118
81,118
93,118
72,119
91,119
93,119
93,120
103,120
104,120
72,121
80,121
86,121
69,122
75,122
76,122
102,123
104,123
87,124
101,124
120,124
117,125
107,126
110,126
122,126
89,127
123,127
94,128
124,128
127,128
117,129
126,129
87,130
120,130
71,131
90,131
122,131
130,132
131,132
87,133
109,133
127,134
130,134
95,135
126,136
128,137
132,137
136,137
128,138
133,138
