Predecessor, Successor
3,5
3,6
4,6
2,7
6,7
4,8
5,9
5,11
7,12
10,12
8,13
10,13
11,13
7,14
10,14
12,15
14,15
8,16
9,16
14,16
8,17
12,17
7,18
10,19
11,19
1,20
13,20
1,21
16,21
18,21
7,22
13,23
16,23
22,23
18,24
22,24
18,25
20,25
17,26
25,26
19,27
25,27
19,28
21,28
19,29
21,29
24,29
12,30
13,30
21,30
24,31
26,31
27,31
30,31
20,32
29,33
27,34
30,34
6,35
9,35
28,36
31,36
17,37
20,37
23,37
15,38
34,38
36,38
23,39
28,39
32,40
34,40
36,40
37,40
34,41
36,41
40,42
32,43
39,43
32,44
36,44
37,44
33,45
40,45
38,46
42,47
44,47
45,47
46,47
